"CWNS_ID","FACILITY_ID","STATE_CODE","FLOW_TYPE","CURRENT_DESIGN_FLOW","FUTURE_DESIGN_FLOW"
"06001079001",1175232,"CA","Municipal Flow",3.01,3.01
"06001079001",1175232,"CA","Industrial Flow",,
"06001079001",1175232,"CA","Infiltration Flow",,
"06001079001",1175232,"CA","Wet Weather Peak",7,21.7
"06001079001",1175232,"CA","Total Flow",3.01,3.01
"06005008001",1175528,"CA","Municipal Flow",4.5,4.5
"06005008001",1175528,"CA","Industrial Flow",0.5,0.5
"06005008001",1175528,"CA","Infiltration Flow",,
"06005008001",1175528,"CA","Wet Weather Peak",,
"06005008001",1175528,"CA","Total Flow",5,5
"06005028001",1175550,"CA","Municipal Flow",,
"06005028001",1175550,"CA","Industrial Flow",,
"06005028001",1175550,"CA","Infiltration Flow",,
"06005028001",1175550,"CA","Wet Weather Peak",,
"06005028001",1175550,"CA","Total Flow",1.069,2.34
"06005261001",1175742,"CA","Municipal Flow",1.11,1.11
"06005261001",1175742,"CA","Industrial Flow",,
"06005261001",1175742,"CA","Infiltration Flow",,
"06005261001",1175742,"CA","Wet Weather Peak",,
"06005261001",1175742,"CA","Total Flow",1.11,1.11
"06009031002",1176067,"CA","Municipal Flow",,
"06009031002",1176067,"CA","Industrial Flow",,
"06009031002",1176067,"CA","Infiltration Flow",,
"06009031002",1176067,"CA","Wet Weather Peak",,
"06009031002",1176067,"CA","Total Flow",32,56.7
"06005046001",1175566,"CA","Wet Weather Peak",,
"06005046001",1175566,"CA","Total Flow",0.58,0.58
"06005272001",1175747,"CA","Municipal Flow",0.15,0.15
"06005272001",1175747,"CA","Industrial Flow",,
"06005272001",1175747,"CA","Infiltration Flow",,
"06005272001",1175747,"CA","Wet Weather Peak",,
"06005272001",1175747,"CA","Total Flow",0.15,0.15
"06007018001",1175927,"CA","Municipal Flow",0.25,0.25
"06007018001",1175927,"CA","Industrial Flow",,
"06007018001",1175927,"CA","Infiltration Flow",,
"06007018001",1175927,"CA","Wet Weather Peak",,
"06007018001",1175927,"CA","Total Flow",0.25,0.25
"06008027001",1175982,"CA","Municipal Flow",0.6,0.6
"06008027001",1175982,"CA","Industrial Flow",,
"06008027001",1175982,"CA","Infiltration Flow",,
"06008027001",1175982,"CA","Wet Weather Peak",,
"06008027001",1175982,"CA","Total Flow",0.6,0.6
"06008085001",1176028,"CA","Municipal Flow",,
"06008085001",1176028,"CA","Industrial Flow",,
"06008085001",1176028,"CA","Infiltration Flow",,
"06008085001",1176028,"CA","Wet Weather Peak",,
"06008085001",1176028,"CA","Total Flow",22.5,38.5
"06005094001",1238819,"CA","Municipal Flow",0.11,0.11
"06005094001",1238819,"CA","Industrial Flow",,
"06005094001",1238819,"CA","Infiltration Flow",,
"06005094001",1238819,"CA","Wet Weather Peak",,
"06005094001",1238819,"CA","Total Flow",0.11,0.11
"06001082001",1175233,"CA","Municipal Flow",1.4,1.4
"06001082001",1175233,"CA","Industrial Flow",,
"06001082001",1175233,"CA","Infiltration Flow",,
"06001082001",1175233,"CA","Wet Weather Peak",,
"06001082001",1175233,"CA","Total Flow",1.4,1.4
"06002033001",1175290,"CA","Municipal Flow",,
"06002033001",1175290,"CA","Industrial Flow",,
"06002033001",1175290,"CA","Infiltration Flow",,
"06002033001",1175290,"CA","Wet Weather Peak",,
"06002033001",1175290,"CA","Total Flow",15.4,15.4
"06003053001",1175421,"CA","Municipal Flow",0.95,0.95
"06003053001",1175421,"CA","Industrial Flow",0.05,0.05
"06003053001",1175421,"CA","Infiltration Flow",,
"06003053001",1175421,"CA","Wet Weather Peak",,
"06003053001",1175421,"CA","Total Flow",1,1
"06003060001",1175427,"CA","Municipal Flow",,
"06003060001",1175427,"CA","Industrial Flow",,
"06003060001",1175427,"CA","Infiltration Flow",,
"06003060001",1175427,"CA","Wet Weather Peak",10.2,10.2
"06003060001",1175427,"CA","Total Flow",9,9
"06005074001",1175592,"CA","Municipal Flow",0.06,0.06
"06005074001",1175592,"CA","Industrial Flow",,
"06005074001",1175592,"CA","Infiltration Flow",,
"06005074001",1175592,"CA","Wet Weather Peak",,
"06005074001",1175592,"CA","Total Flow",0.06,0.06
"06005780001",1175851,"CA","Municipal Flow",0.1,0.07
"06005780001",1175851,"CA","Industrial Flow",,
"06005780001",1175851,"CA","Infiltration Flow",,
"06005780001",1175851,"CA","Wet Weather Peak",,
"06005780001",1175851,"CA","Total Flow",0.1,0.07
"06007019001",1175928,"CA","Municipal Flow",0.375,0.375
"06007019001",1175928,"CA","Industrial Flow",,
"06007019001",1175928,"CA","Infiltration Flow",,
"06007019001",1175928,"CA","Wet Weather Peak",,
"06007019001",1175928,"CA","Total Flow",0.375,0.375
"06007041001",1175940,"CA","Municipal Flow",0.08,0.08
"06007041001",1175940,"CA","Industrial Flow",,
"06007041001",1175940,"CA","Infiltration Flow",,
"06007041001",1175940,"CA","Wet Weather Peak",,
"06007041001",1175940,"CA","Total Flow",0.08,0.08
"06005033001",1238815,"CA","Municipal Flow",0.5,0.5
"06005033001",1238815,"CA","Industrial Flow",,
"06005033001",1238815,"CA","Infiltration Flow",,
"06005033001",1238815,"CA","Wet Weather Peak",1.3,1.3
"06005033001",1238815,"CA","Total Flow",0.5,0.5
"06001015001",1175184,"CA","Municipal Flow",1.37,1.37
"06001015001",1175184,"CA","Industrial Flow",,
"06001015001",1175184,"CA","Infiltration Flow",,
"06001015001",1175184,"CA","Wet Weather Peak",,
"06001015001",1175184,"CA","Total Flow",1.37,1.37
"06001041001",1175206,"CA","Municipal Flow",,
"06001041001",1175206,"CA","Industrial Flow",,
"06001041001",1175206,"CA","Infiltration Flow",,
"06001041001",1175206,"CA","Wet Weather Peak",6.12,6.12
"06001041001",1175206,"CA","Total Flow",1.86,1.86
"06002012001",1175273,"CA","Municipal Flow",,
"06002012001",1175273,"CA","Industrial Flow",,
"06002012001",1175273,"CA","Infiltration Flow",,
"06002012001",1175273,"CA","Wet Weather Peak",80,80
"06002012001",1175273,"CA","Total Flow",39,40
"06002025001",1175283,"CA","Municipal Flow",,
"06002025001",1175283,"CA","Industrial Flow",,
"06002025001",1175283,"CA","Infiltration Flow",,
"06002025001",1175283,"CA","Wet Weather Peak",250,250
"06002025001",1175283,"CA","Total Flow",53.8,53.8
"06002063002",1175323,"CA","Municipal Flow",0.04,0.04
"06002063002",1175323,"CA","Industrial Flow",,
"06002063002",1175323,"CA","Infiltration Flow",,
"06002063002",1175323,"CA","Wet Weather Peak",,
"06002063002",1175323,"CA","Total Flow",0.04,0.04
"06003009001",1175378,"CA","Municipal Flow",5.5,5.5
"06003009001",1175378,"CA","Industrial Flow",,
"06003009001",1175378,"CA","Infiltration Flow",,
"06003009001",1175378,"CA","Wet Weather Peak",,
"06003009001",1175378,"CA","Total Flow",5.5,5.5
"06003068001",1175436,"CA","Municipal Flow",0.15,0.15
"06003068001",1175436,"CA","Industrial Flow",,
"06003068001",1175436,"CA","Infiltration Flow",,
"06003068001",1175436,"CA","Wet Weather Peak",,
"06003068001",1175436,"CA","Total Flow",0.15,0.15
"06005022001",1175543,"CA","Municipal Flow",1,1
"06005022001",1175543,"CA","Industrial Flow",,
"06005022001",1175543,"CA","Infiltration Flow",,
"06005022001",1175543,"CA","Wet Weather Peak",,
"06005022001",1175543,"CA","Total Flow",1,1
"06005243001",1175729,"CA","Municipal Flow",1.6,1.6
"06005243001",1175729,"CA","Industrial Flow",,
"06005243001",1175729,"CA","Infiltration Flow",,
"06005243001",1175729,"CA","Wet Weather Peak",4.9,4.9
"06005243001",1175729,"CA","Total Flow",1.6,1.6
"06005299001",1175755,"CA","Municipal Flow",0.5,0.5
"06005299001",1175755,"CA","Industrial Flow",,
