"CWNS_ID","FACILITY_ID","STATE_CODE","COUNTY_FIPS","COUNTY_NAME","COUNTY_PRIMARY_FLAG"
"06003044001",1175412,"CA","06053","Monterey","Y"
"06005233001",1175721,"CA","06061","Placer","Y"
"06005239001",1175726,"CA","06013","Contra Costa","Y"
"06008002001",1175946,"CA","06059","Orange","Y"
"06000203200",3509698,"CA","06075","San Francisco","Y"
"06021010005",2902596,"CA","06023","Humboldt","Y"
"06002041001",1175299,"CA","06085","Santa Clara","Y"
"06003072001",1175440,"CA","06083","Santa Barbara","Y"
"06007022001",1175930,"CA","06025","Imperial","Y"
"06008044001",1175998,"CA","06059","Orange","Y"
"06004009006",1175482,"CA","06059","Orange","Y"
"06008065001",1176011,"CA","06059","Orange","Y"
"06008023006",2942689,"CA","06059","Orange","Y"
"06008023011",2944164,"CA","06059","Orange","Y"
"06022041002",470876,"CA","06085","Santa Clara","Y"
"06001036001",1175202,"CA","06097","Sonoma","Y"
"06005216001",1175710,"CA","06061","Placer","Y"
"06005551001",1175825,"CA","06017","El Dorado","Y"
"06004009003",1175479,"CA","06037","Los Angeles","Y"
"06004010003",1175493,"CA","06037","Los Angeles","Y"
"06005245002",1175731,"CA","06103","Tehama","Y"
"06006008001",1175861,"CA","06057","Nevada","Y"
"06003027001",1175394,"CA","06079","San Luis Obispo","Y"
"06005197001",1175701,"CA","06039","Madera","Y"
"06008033001",1175988,"CA","06059","Orange","Y"
"06022018001",2838060,"CA","06085","Santa Clara","Y"
"06002018001",1175277,"CA","06085","Santa Clara","Y"
"06022039001",3347694,"CA","06081","San Mateo","Y"
"06008010005",3486593,"CA","06065","Riverside","Y"
"06003012001",1175381,"CA","06053","Monterey","Y"
"06004010004",1175494,"CA","06037","Los Angeles","Y"
"06008016001",1175967,"CA","06065","Riverside","Y"
"06022175001",3225490,"CA","06001","Alameda","Y"
"06002025001",1175283,"CA","06013","Contra Costa","Y"
"06002049001",1175309,"CA","06081","San Mateo","Y"
"06004010005",1175495,"CA","06037","Los Angeles","Y"
"06005294001",3478111,"CA","06063","Plumas","Y"
"06001002001",1175168,"CA","06093","Siskiyou","Y"
"06002008001",1175269,"CA","06085","Santa Clara","Y"
"06003018001",1175385,"CA","06053","Monterey","Y"
"06004009002",1175478,"CA","06071","San Bernardino","Y"
"06003037001",1175402,"CA","06083","Santa Barbara","Y"
"06005113001",1175644,"CA","06019","Fresno","Y"
"06006004001",1175857,"CA","06017","El Dorado","Y"
"06003094001",406088,"CA","06079","San Luis Obispo","Y"
"06008072001",1176018,"CA","06059","Orange","Y"
"06012001032",2856163,"CA","06013","Contra Costa","Y"
"06009015003",1176047,"CA","06073","San Diego","Y"
"06002033001",1175290,"CA","06055","Napa","Y"
"06002067001",1175327,"CA","06013","Contra Costa","Y"
"06003060001",1175427,"CA","06085","Santa Clara","Y"
"06008038001",1175992,"CA","06059","Orange","Y"
"06023029001",3378890,"CA","06053","Monterey","Y"
"06005246001",1175732,"CA","06107","Tulare","Y"
"06002069001",1175329,"CA","06097","Sonoma","Y"
"06005053001",1175571,"CA","06019","Fresno","Y"
"06029041001",3138044,"CA","06073","San Diego","Y"
"06008023005",2942682,"CA","06059","Orange","Y"
"06002158001",3484151,"CA","06081","San Mateo","Y"
"06002023001",1175281,"CA","06013","Contra Costa","Y"
"06002082001",1175340,"CA","06013","Contra Costa","Y"
"06007002001",1175909,"CA","06025","Imperial","Y"
"06009006001",1176037,"CA","06059","Orange","Y"
"06009019001",1176050,"CA","06059","Orange","Y"
"06002108001",1175347,"CA","06041","Marin","Y"
"06009018001",1176049,"CA","06073","San Diego","Y"
"06008024001",1175978,"CA","06071","San Bernardino","Y"
"06002118001",1175353,"CA","06097","Sonoma","Y"
"06003076001",1175443,"CA","06085","Santa Clara","Y"
"06004006001",1175461,"CA","06111","Ventura","Y"
"06004027001",1175513,"CA","06111","Ventura","Y"
"06008007001",1175956,"CA","06071","San Bernardino","Y"
"06009009001",1176040,"CA","06073","San Diego","Y"
"06009077001",1176096,"CA","06059","Orange","Y"
"06024007001",474006,"CA","06111","Ventura","Y"
"06008010008",410633,"CA","06071","San Bernardino","Y"
"06008023003",2945422,"CA","06059","Orange","Y"
"06005649001",1175839,"CA","06061","Placer","Y"
"06029046001",415588,"CA","06073","San Diego","Y"
"06008010004",3486590,"CA","06071","San Bernardino","Y"
"06008086001",3380875,"CA","06065","Riverside","Y"
"06004010001",1175491,"CA","06037","Los Angeles","Y"
"06005169001",1175684,"CA","06113","Yolo","Y"
"06008011001",1175962,"CA","06071","San Bernardino","Y"
